Components,Delivery and Customer Support,Design and Aesthetics,Dimensions,Features,Functionality,Installation,Material,Price,Quality,Usability,Polarity
0,0,1,0,0,0,0,1,0,1,1,1
0,0,0,0,0,1,0,0,0,0,0,1
0,0,1,1,1,1,0,0,1,0,1,1
0,0,1,0,0,0,0,0,0,1,0,1
0,0,0,1,0,0,0,0,1,0,1,0
0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,1,1,0,0,0,0,1
1,0,1,0,1,1,1,0,0,0,1,1
0,0,0,0,0,0,0,0,0,1,1,1
0,0,1,0,0,1,0,0,0,0,1,1
0,0,0,0,0,1,0,0,0,0,0,1
0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1,1
0,0,1,1,0,0,0,0,0,1,1,1
0,0,0,0,0,1,0,0,0,1,1,1
0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,1,0,1,1,1,0,1
0,0,0,0,0,0,1,0,0,1,1,1
0,0,0,0,0,0,1,0,0,1,1,1
0,0,0,0,0,0,0,0,0,1,1,1
0,0,0,1,0,0,0,0,0,1,0,1
0,0,0,0,1,1,0,0,1,1,1,1
0,0,1,0,0,0,0,1,0,1,0,0
0,0,0,1,0,1,0,0,0,1,1,1
0,0,0,0,0,1,0,0,0,0,1,1
0,0,0,0,0,1,0,0,0,1,1,1
0,0,0,0,0,0,0,0,0,1,0,1
0,0,1,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,1,0,1
0,0,0,0,0,0,1,0,1,1,1,1
0,0,0,0,0,0,1,0,0,0,1,1
0,0,0,1,0,0,1,0,0,0,1,1
1,0,1,1,0,1,1,0,0,0,0,0
0,0,0,1,0,0,0,0,1,1,1,1
0,0,0,0,0,1,0,0,1,1,1,1
0,0,0,0,0,1,0,0,0,0,1,1
0,0,0,0,1,1,1,0,1,0,0,0
0,0,1,0,0,1,0,0,0,0,0,1
0,1,0,0,0,0,0,0,1,1,0,1
0,0,0,0,0,0,1,0,0,0,1,1
0,0,1,0,1,1,0,0,0,0,1,1
0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0,1
0,0,1,0,0,1,0,0,0,1,1,1
0,0,0,0,1,1,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,1,0,0
0,0,1,0,0,0,1,0,0,1,1,1
0,0,0,0,0,1,0,0,0,0,1,1
0,0,0,0,0,0,1,0,0,1,0,1
0,0,1,1,0,0,0,1,0,0,1,1
1,0,0,0,1,1,0,1,0,1,1,0
1,0,0,0,0,1,0,0,1,1,0,1
0,0,0,1,0,1,0,0,0,1,0,1
0,0,1,0,0,1,0,0,0,0,0,1
0,0,0,1,1,0,1,0,0,0,1,1
0,0,1,0,0,0,0,0,0,1,0,1
0,1,0,0,0,1,1,0,0,1,0,0
0,0,0,1,0,1,0,0,1,0,1,1
0,0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,1,0,0,1,1,0,0
0,0,1,0,0,0,1,0,0,1,1,1
0,0,0,0,0,1,1,0,0,1,0,1
0,0,0,0,0,1,0,0,0,0,0,1
0,0,1,0,0,1,0,0,0,1,0,1
1,0,0,1,0,1,0,0,0,0,1,0
0,0,0,0,1,1,0,0,0,1,1,0
0,0,0,1,0,0,0,0,0,1,1,1
0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,1,0,0,0,0,0,1,1
0,0,0,1,1,1,0,0,0,1,1,0
0,0,0,1,1,1,0,0,0,1,1,1
1,0,1,1,1,0,1,1,1,0,1,0
0,0,0,0,0,0,1,0,0,0,1,1
0,0,0,0,0,1,0,0,1,1,1,1
0,0,0,0,0,1,0,0,0,1,0,1
0,1,0,0,0,1,1,0,0,1,0,0
0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,1,0,0,1,1,1
0,0,1,0,0,0,0,0,1,1,1,1
0,0,0,0,0,1,0,0,0,0,1,1
0,0,0,0,0,0,1,0,0,0,1,1
0,0,0,0,0,0,1,0,0,0,1,1
0,0,1,1,0,0,0,0,0,0,1,1
1,0,0,0,0,1,0,0,0,1,1,1
0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,1,1,1,0,0,0,0,1,1
0,0,0,1,1,1,1,0,0,0,0,0
0,0,0,0,0,1,1,0,0,0,1,1
0,0,0,0,0,0,1,0,0,0,1,1
0,0,0,0,0,1,0,0,0,1,1,1
0,0,0,0,0,0,1,0,0,0,1,1
0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,1,0,1,0,0,1,0,1,1
1,0,1,1,1,1,1,0,0,0,1,1
0,0,0,0,1,1,0,0,1,0,1,1
0,1,0,0,0,0,1,0,1,1,0,0
0,0,0,0,0,0,0,0,1,1,1,1
0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,1,0,0,0,1,1
0,1,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,0,1,0,1
0,0,0,0,0,1,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,1,0,0,1,0,0,1
0,0,0,0,0,1,0,0,0,0,1,1
0,0,0,0,0,1,0,0,0,1,0,0
0,0,0,0,0,0,1,0,0,1,1,1
0,0,0,0,0,1,1,0,0,0,1,1
0,0,0,0,0,0,0,0,1,1,0,1
0,0,1,0,0,1,1,0,0,0,1,1
0,0,0,0,1,1,0,1,0,0,1,1
0,0,0,0,0,0,1,0,0,0,1,1
0,0,0,0,0,1,0,0,1,1,0,1
0,0,1,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1,1,1
0,0,1,1,1,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1,1,1
0,0,0,0,0,1,0,0,1,0,0,1
0,0,0,1,0,0,1,0,0,0,1,1
0,0,1,1,0,0,0,0,0,1,1,1
0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,1,0,0,0,0,0,0,0,1
0,1,0,0,0,0,1,0,1,1,1,1
0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1,1,1
0,0,0,0,0,1,0,0,0,1,0,1
0,0,0,0,1,1,0,1,0,1,1,1
0,0,1,1,0,1,0,0,0,0,1,1
0,0,0,0,0,0,1,0,0,1,1,1
0,0,0,0,0,1,0,0,0,0,1,1
0,0,0,0,0,1,0,0,0,0,0,1
0,0,1,0,0,0,0,0,1,0,0,1
0,0,1,0,0,0,1,1,0,1,1,1
0,0,0,0,0,1,0,0,1,0,1,1
0,0,0,1,0,0,0,0,0,0,1,1
1,0,1,1,1,1,1,0,0,0,1,1
0,0,1,0,1,1,1,0,1,0,0,1
0,0,0,0,0,0,0,0,1,0,0,1
0,0,0,1,1,0,1,0,0,0,1,1
0,0,0,0,0,1,0,0,0,0,0,1
0,1,0,0,0,0,1,1,1,1,0,0
0,0,0,1,0,0,0,0,0,0,0,1
0,1,0,0,0,1,0,0,1,1,0,0
0,0,0,1,0,1,0,0,0,0,0,1
0,0,0,1,0,0,1,0,0,0,1,1
0,1,1,0,0,0,1,0,1,0,0,1
0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,1,0,0,1,0,0,1,0,1
0,0,0,0,0,1,1,0,0,0,0,1
0,0,1,1,0,1,1,0,0,1,1,1
1,0,0,0,0,1,0,0,0,1,1,0
0,0,0,1,0,0,0,0,0,1,0,1
0,1,0,0,1,1,1,0,1,1,1,0
0,0,0,0,0,0,1,0,0,0,1,1
0,0,0,0,1,1,0,0,0,0,0,1
0,1,0,0,0,1,0,0,0,0,0,1
0,0,1,1,0,1,0,0,0,0,0,1
0,0,0,0,0,1,0,0,1,0,1,1
0,0,0,0,0,1,0,0,0,1,0,1
0,0,0,0,0,1,0,0,1,1,1,1
0,0,0,0,0,1,0,0,1,0,1,1
1,0,0,0,0,1,0,0,0,1,1,0
0,0,0,0,0,0,0,0,1,1,0,1
0,0,0,0,0,0,0,0,1,1,0,1
0,0,0,0,0,1,0,0,0,0,0,1
1,0,1,1,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,1,1,0,0,1,1,1,1
0,0,0,1,0,0,0,0,0,1,1,1
0,0,0,0,0,1,0,0,0,1,0,1
0,0,0,0,1,1,0,0,1,0,0,0
0,0,0,0,0,0,1,0,0,1,1,1
1,0,0,0,0,0,1,0,0,0,1,1
0,0,1,1,1,1,0,0,1,0,1,1
0,0,1,0,1,1,1,0,0,0,1,1
0,0,1,0,0,1,0,0,1,1,0,0
0,0,0,0,1,1,1,0,1,1,1,0
0,1,1,0,0,1,1,0,0,0,0,0
1,0,0,1,0,0,0,0,0,1,1,0
0,0,0,0,0,1,0,0,1,0,0,1
0,0,0,0,0,1,1,0,0,0,0,1
1,0,0,0,0,0,1,0,0,0,1,1
0,0,0,0,1,0,1,0,0,0,1,1
0,0,0,0,0,1,0,0,0,0,1,1
0,0,0,1,0,0,0,0,1,1,0,1
0,1,1,0,0,1,1,0,0,1,0,1
0,0,1,0,0,0,0,1,0,1,1,1
0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0,1,1,1
0,0,0,1,1,1,0,0,0,1,1,1
0,0,1,0,0,0,0,0,0,0,1,1
0,0,0,0,0,1,1,0,0,0,1,1
0,0,0,0,0,0,1,0,1,0,1,1
0,0,1,1,0,0,0,0,0,0,1,1
0,0,0,0,0,1,0,0,1,1,0,1
0,0,1,0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,1,1,0,1
0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,1,0,1
0,1,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,1,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,1,1,1
0,0,1,1,0,0,0,0,0,1,1,1
0,1,1,0,0,0,1,0,1,0,1,1
1,1,0,0,0,1,0,0,0,0,1,0
0,1,1,0,0,0,1,0,1,0,1,1
0,0,0,0,0,0,1,0,0,0,1,1
0,0,1,0,0,1,1,0,0,0,0,1
0,0,0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,1,0,0,0,1,0,1
0,0,0,0,0,0,1,0,0,0,1,1
0,0,0,0,0,1,0,1,0,1,0,1
0,0,0,0,0,0,1,0,1,1,1,1
0,0,0,1,1,1,0,0,0,1,1,1
0,0,0,0,0,0,1,0,0,1,0,1
0,0,1,0,0,0,1,0,0,0,1,1
0,0,0,0,0,1,0,0,0,1,1,1
0,0,0,0,0,0,0,0,1,1,0,1
0,0,0,1,0,1,0,0,0,0,0,1
0,0,0,1,1,1,0,0,0,0,1,1
0,0,0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,1,0,0,0,1,1
0,0,0,0,0,0,0,1,1,0,0,1
0,0,1,0,0,0,0,0,0,1,0,1
0,0,1,0,0,1,0,0,0,0,0,1
0,0,0,0,0,1,1,0,0,0,1,1
0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,1,0,1
0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,1,0,0,0,0,0,1
0,0,1,0,1,1,1,0,1,0,0,1
0,0,0,0,0,1,0,0,0,1,0,1
0,0,0,0,0,1,0,0,1,0,1,1
0,0,0,0,0,1,0,0,1,1,1,1
0,0,0,0,1,1,0,0,0,1,1,1
0,0,0,0,0,1,0,0,0,0,1,0
0,0,0,0,0,1,0,0,1,1,1,1
0,0,0,0,0,1,0,0,1,1,1,1
0,0,0,0,1,1,0,0,0,1,1,0
0,0,0,0,0,1,0,0,0,1,1,0
0,0,0,1,0,1,0,0,0,1,1,1
0,0,0,1,0,0,0,0,1,1,1,1
0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,1,0,1,0,0,0,0,1,1
0,0,1,0,0,0,0,0,0,1,1,1
0,0,0,1,0,1,0,0,0,0,0,1
0,1,0,0,1,0,1,0,1,1,0,1
0,0,0,0,0,0,1,0,1,0,1,1
0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0,1
1,1,1,0,0,0,1,0,1,1,0,0
0,0,0,0,0,0,1,0,0,1,0,1
0,1,0,0,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,1,0,1,1
0,0,0,0,1,1,0,0,0,0,1,1
0,0,0,0,0,0,1,0,0,0,1,1
0,0,0,1,0,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,1,0,0,0,0,1,1
0,0,0,0,0,0,1,0,0,0,1,1
0,0,1,1,1,1,1,0,0,0,1,1
0,0,0,1,0,0,0,0,0,0,1,1
0,0,0,0,0,1,1,0,0,1,1,1
0,0,0,0,0,1,0,0,0,1,1,1
0,0,0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,1,0,0,0,0,1,1
0,0,0,0,0,1,0,0,0,1,0,1
0,0,0,0,1,1,0,0,0,1,1,1
0,0,0,0,0,0,1,0,0,1,1,1
0,0,0,0,0,1,0,0,0,0,1,1
0,0,0,0,0,1,0,0,0,0,1,1
0,0,0,0,0,1,0,0,0,1,1,1
0,0,0,0,0,0,1,0,0,0,1,1
0,0,0,0,0,1,1,0,1,1,0,1
0,0,0,0,0,1,0,0,0,1,0,1
0,0,0,0,0,1,0,0,0,0,0,1
1,0,0,1,0,0,0,0,0,0,0,0
0,0,1,0,0,1,0,0,0,1,0,0
0,0,0,0,0,0,1,0,0,0,1,1
0,0,0,0,1,1,1,0,0,0,0,1
0,0,0,0,0,1,0,0,1,0,0,1
0,0,1,0,0,0,1,1,0,0,0,1
0,0,0,0,0,0,0,0,1,1,0,1
0,1,0,1,0,1,0,0,1,0,0,1
0,1,1,0,0,1,0,0,0,0,0,1
0,0,1,1,0,0,0,0,0,0,1,1
0,0,0,0,0,1,1,0,0,1,1,1
0,0,0,0,0,0,1,0,0,0,1,1
0,0,1,0,0,0,1,1,0,1,0,0
0,0,0,1,0,1,0,0,0,0,0,1
0,0,0,0,0,1,1,1,1,1,0,1
0,0,0,0,0,1,0,0,0,0,1,1
0,0,0,0,0,0,1,0,0,0,1,1
0,0,0,0,0,0,1,0,0,0,1,1
0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,1,0,0,0,0,1,1,1
0,0,0,0,0,0,1,0,0,1,1,1
0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,1,1,0,1,0,0,1
0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,1,0,1,0,0,0,0,0,1
0,0,0,0,0,1,0,0,1,0,1,1
0,0,0,0,0,0,1,0,0,0,1,1
0,0,0,1,0,0,1,0,0,0,1,1
0,0,1,0,1,1,0,0,1,1,1,0
0,0,0,1,1,1,1,0,0,0,1,1
0,0,0,0,0,1,0,0,0,0,0,1
0,1,0,0,0,1,0,0,1,0,0,1
1,1,1,1,0,0,1,0,0,0,1,0
0,0,1,0,1,0,0,0,0,1,1,1
0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,1,0,0,0,1,1
0,0,0,0,0,1,0,1,0,0,0,1
0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0,1,1,1
0,0,1,0,1,1,0,0,1,0,0,1
0,0,0,0,0,1,0,0,0,0,1,1
0,0,0,1,0,0,0,0,1,1,0,1
0,0,0,1,0,1,0,0,0,1,1,0
0,0,0,0,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,0,1,1,0
0,0,0,0,1,0,1,0,0,0,1,1
0,0,1,0,1,1,0,0,0,0,1,1
0,0,1,1,0,0,0,0,0,0,1,1
0,0,0,0,1,0,1,0,0,1,0,1
1,0,0,0,0,1,0,0,0,0,1,0
0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,1,0,0,1,1,1
0,1,0,0,0,1,0,1,0,0,1,1
0,0,0,0,0,1,0,0,0,1,0,1
0,0,1,1,0,0,0,0,0,0,0,1
0,0,0,0,1,1,1,0,0,1,1,1
0,0,0,0,0,0,0,0,0,1,0,0
0,0,1,1,0,0,0,0,0,1,1,1
0,0,0,1,0,1,0,0,1,1,1,1
0,0,0,0,0,0,1,0,0,1,1,1
0,1,0,0,0,0,1,0,0,1,1,1
0,0,0,0,0,0,1,1,0,0,1,1
0,0,0,0,0,1,0,1,1,0,0,1
0,0,0,1,0,0,0,0,0,1,0,1
0,0,0,1,0,0,1,0,0,0,1,1
0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,1,0,0,0,1,1
0,0,0,0,0,1,0,0,0,1,0,1
0,0,1,1,0,0,0,1,0,1,1,1
0,0,1,0,0,0,0,1,0,1,1,0
0,0,1,0,0,1,0,0,1,0,1,1
0,0,0,0,0,0,0,0,1,1,0,1
0,0,0,0,0,0,1,0,0,0,1,1
0,0,0,0,0,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,1,0,0,1
0,1,0,0,0,0,1,0,0,0,1,0
1,0,0,0,1,1,0,0,1,1,1,1
0,0,0,1,1,0,0,0,0,0,1,1
0,0,0,0,1,1,0,0,1,0,1,1
0,0,0,0,0,1,0,0,0,1,1,1
0,0,0,0,0,0,0,0,1,1,1,1
0,0,0,0,1,1,0,0,0,1,1,0
0,0,0,0,0,0,0,0,1,1,1,1
0,0,0,0,0,1,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1,1,0
0,0,0,1,0,1,0,0,0,0,0,1
0,0,1,1,1,1,0,0,0,1,1,1
0,0,0,0,0,1,0,0,0,1,0,1
0,0,0,0,0,1,0,0,0,0,1,1
0,0,0,0,0,1,0,0,0,0,0,1
0,1,0,0,0,1,0,1,0,0,0,0
0,0,1,1,0,0,0,0,0,0,1,1
1,0,0,0,0,1,0,0,1,0,1,1
0,0,0,1,0,0,0,1,1,1,1,1
1,0,1,0,0,1,0,0,0,0,1,1
0,1,0,0,0,1,0,0,0,0,1,1
0,0,0,0,0,1,1,0,0,0,1,1
0,0,0,0,1,1,0,0,1,0,0,1
0,0,0,0,0,1,0,0,0,0,1,1
0,0,0,0,1,1,0,0,0,0,1,1
0,1,1,0,0,1,1,1,1,0,0,1
0,0,0,0,0,0,0,0,1,1,0,1
0,0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,1,0,0,1,0,0,1
0,0,0,1,0,1,0,1,0,1,1,1
0,0,0,0,1,1,0,0,0,0,1,0
0,0,0,0,1,1,1,1,1,1,1,1
0,0,0,0,0,1,0,0,1,0,1,1
0,1,0,0,0,0,0,1,0,1,1,1
0,0,0,1,0,0,0,0,0,1,0,1
0,1,0,0,0,0,1,0,1,1,1,1
1,0,1,0,1,1,1,0,1,0,0,0
0,0,0,0,0,0,0,0,1,1,0,1
0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,1,0,0,1,0,1,0,1,1
1,0,0,0,0,1,0,0,0,0,1,1
0,0,1,0,0,0,1,0,1,0,0,1
0,0,1,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,1,1,1
0,0,0,0,1,0,1,0,1,1,1,1
0,0,0,1,0,0,0,0,1,0,0,1
0,0,0,0,0,1,0,0,0,0,0,1
1,0,1,0,0,1,1,0,0,0,1,1
0,0,0,0,0,0,0,1,1,1,1,1
0,0,0,0,0,1,1,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,0,1
0,0,1,0,1,0,0,0,0,0,1,1
1,0,0,0,0,1,0,0,1,0,1,0
0,0,0,0,0,1,0,0,1,0,0,1
0,0,1,0,0,0,1,0,0,1,1,1
0,0,1,1,0,0,0,1,0,1,1,1
0,0,0,0,0,1,0,0,0,0,1,1
0,0,1,0,0,1,0,0,1,0,0,1
0,0,0,0,0,0,1,0,0,0,1,1
0,1,0,0,0,0,0,0,0,1,0,0
0,0,0,1,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,0,0,0,1
1,1,0,0,1,0,1,0,1,1,0,1
0,0,0,0,1,1,1,0,0,1,1,1
0,0,1,1,0,0,0,0,0,1,1,1
0,0,0,0,0,0,1,0,0,0,1,1
0,0,0,0,0,0,1,0,0,0,1,1
0,0,0,0,0,1,0,1,1,1,0,0
0,0,0,0,0,1,0,0,0,0,0,1
0,0,1,1,0,0,0,0,0,1,1,0
0,0,0,0,0,1,0,0,1,1,0,0
1,0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,1,0,0,0,0,1,0,1
0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,1,1,0,0,0,1,1
0,0,0,0,0,1,1,0,0,1,0,1
0,0,0,0,0,1,0,0,0,0,1,1
0,0,1,0,1,1,1,0,0,1,1,1
0,0,0,0,1,1,0,1,0,1,1,1
0,0,1,1,0,0,1,0,0,1,1,0
0,0,1,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,1,1,0,1
0,0,0,0,1,1,0,0,0,1,1,1
0,0,0,0,0,1,0,0,0,0,0,1
0,0,1,0,0,1,1,0,0,0,1,1
0,0,0,0,1,0,1,0,0,0,1,1
0,0,1,0,0,0,1,1,0,1,0,1
1,0,0,0,1,1,1,0,0,1,0,1
0,0,0,0,0,1,0,0,1,0,0,1
0,0,1,1,0,0,0,0,0,0,0,1
0,0,0,1,0,1,0,1,0,1,1,1
0,0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,1,0,0,0,1,0,1
0,0,1,0,0,1,1,0,0,1,1,0
0,0,1,0,0,1,0,0,1,0,1,1
0,0,0,0,0,0,0,0,1,1,0,0
0,1,1,1,0,1,0,0,0,1,0,1
0,0,0,0,1,1,1,0,1,1,0,0
0,0,0,0,0,0,0,0,1,0,0,1
0,0,1,0,0,1,1,0,0,1,0,0
0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,1,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1,1,0
0,0,1,0,0,0,1,0,0,0,1,1
0,0,0,0,1,1,0,0,0,0,0,1
0,0,1,0,0,0,1,0,0,0,1,1
0,0,0,0,0,0,0,0,1,1,0,1
0,0,1,1,0,0,0,0,0,1,1,1
0,0,1,1,0,0,0,1,0,1,1,1
0,0,0,0,1,1,1,0,0,1,1,1
0,1,0,1,0,1,0,0,0,1,0,1
0,0,0,0,1,1,0,1,1,1,1,1
0,0,0,0,0,1,0,0,1,0,1,1
0,0,0,1,0,1,1,0,0,0,1,1
0,0,0,0,0,1,0,1,0,0,0,1
0,0,0,0,0,1,0,0,0,0,1,1
0,0,0,0,0,1,0,0,0,1,0,1
0,0,0,1,1,0,0,0,0,0,1,1
0,0,0,0,1,0,0,0,0,1,1,1
0,0,0,0,1,1,1,0,1,1,0,1
0,0,0,0,1,1,1,0,1,1,0,1
0,0,0,0,0,1,1,0,0,0,1,1
0,0,0,1,1,1,0,0,0,1,1,1
0,0,1,0,0,1,1,0,1,0,1,1
0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,1,0,0,1,0,0,1
0,0,0,0,0,1,0,0,0,0,1,1
0,0,0,0,0,0,1,0,0,1,1,1
0,0,0,0,0,0,0,0,1,1,0,1
0,0,0,0,1,0,1,0,0,0,1,1
0,0,0,0,0,1,0,0,0,0,1,1
0,0,1,1,0,0,0,1,0,1,1,1
0,0,0,0,0,0,0,0,1,0,0,1
0,0,1,1,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,1,1
0,0,1,1,0,0,0,0,1,0,1,1
0,0,0,0,0,1,0,0,0,1,0,1
0,0,0,0,0,1,0,0,1,0,0,1
0,0,1,0,0,1,1,0,0,0,0,1
0,1,0,1,0,1,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,1,1
0,0,1,0,0,0,0,0,0,1,1,1
0,0,0,0,1,1,1,0,1,1,0,1
0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,1,0,0,1,1,1
0,0,0,1,0,1,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,1,1
0,0,0,0,0,0,0,0,1,1,0,1
0,0,1,0,1,1,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0,1,1,1
